Institution Name,Location,2025 Rank,2024 Rank,QS Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,pca_1,pca_2
University of Porto,PT,278,253,38.1,41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1,53.1,1.4519735014548258,-0.48906333554677583
Vrije Universiteit Brussel (VUB),BE,278,259,38.1,23.3,13.7,76.1,18.2,93.6,58.2,93.1,51.8,72.1,2.554035546988087,1.0669055764269852
Ulsan National Institute of Science and Technology (UNIST),KR,280,266,38,13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,16.1,0.15683919440506228,0.10110673936091427
The Hebrew University of Jerusalem,IL,281,251,37.9,32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6,34.2,2.003074572376836,-1.0234563728788804
University of Strathclyde,UK,281,276,37.9,25.9,30.0,16.7,31.8,93.0,64.0,85.0,33.6,88.6,2.573709347880548,1.6258030976862143
Université Paris 1 Panthéon-Sorbonne ,FR,283,328,37.5,65.6,33.3,4.6,2.9,34.3,46.5,70.3,74.8,23.7,1.7856696537138879,-0.8945031494486257
Xiamen University,CN,362,392,31.7,23.6,16.2,19.0,72.2,5.1,3.1,62.6,46.0,15.4,0.3375503577164009,-0.7190882597905212
Middle East Technical University,TR,285,336,37.2,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5,2.1591562001894236,-1.7847935008603966
Universidad Carlos III de Madrid (UC3M),ES,285,319,37.2,33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7,68.3,2.0429894769421417,0.19337735731549202
University of Cologne,DE,285,268,37.2,35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8,91.9,2.269542257683337,-0.34317942356374886
University of Leicester,UK,285,272,37.2,19.8,13.7,30.8,43.4,80.0,95.3,88.8,22.7,75.0,2.333215991853644,2.381114770415667
University of Milan,IT,285,276,37.2,52.8,17.0,6.4,39.6,6.5,6.8,85.5,44.1,74.8,1.51249834435377,-1.0028636781764124
University of Surrey,UK,285,244,37.2,19.7,17.9,22.8,55.2,97.1,87.1,86.4,20.4,28.4,1.9005055380249347,2.580471485233533
Swinburne University of Technology,AU,291,285,37.1,13.9,11.4,12.4,86.5,94.9,77.3,66.1,13.9,15.4,1.3657492831497517,2.831877853479741
University of Bergen,NO,291,281,37.1,31.6,8.3,64.9,28.3,93.3,16.9,90.7,63.9,33.6,1.8924332271850706,0.2579655611891646
The University of Arizona,US,293,285,37,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,40.4,1.420613110405572,-0.5126486840348236
University of Tasmania,AU,293,307,37,16.0,7.4,22.1,59.8,79.9,89.7,80.0,15.9,85.6,2.179257321579765,2.656488811639616
Beijing Institute of Technology,CN,302,340,35.9,23.2,24.3,43.4,82.0,5.7,6.7,68.6,14.3,10.1,0.3719867864130447,-0.46172615812739426
Stellenbosch University,ZA,296,283,36.7,26.1,35.8,3.5,61.9,19.7,8.0,94.8,85.2,22.0,1.5999687837487382,-1.1001595476791952
University of Virginia,US,297,260,36.6,37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9,35.4,1.4925794367744565,-1.7708276117037565
Bauman Moscow State Technical University,RU,298,319,36.5,36.2,51.9,99.9,1.4,65.6,70.0,15.2,7.7,6.8,0.9590481295942934,0.20596941829835494
Swansea University,UK,298,307,36.5,23.1,43.1,25.1,27.9,71.0,59.6,82.3,8.3,91.8,2.1984911683883963,1.2674233402355821
Huazhong University of Science and Technology,CN,300,275,36.4,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,0.5322899545624816,-0.22423356742770056
Georgetown University,US,301,297,36.3,29.3,41.9,63.0,14.0,28.0,37.3,62.5,90.9,37.0,1.8654575812188836,-1.3982009999636307
Sichuan University,CN,336,355,33.3,20.4,12.3,10.3,98.5,7.1,4.9,71.3,12.9,11.0,0.11727708230119216,0.09744157004404701
Université Paris Cité,FR,302,236,35.9,27.8,6.2,9.2,87.0,12.0,35.2,99.2,15.2,18.4,0.8066279922282521,0.6769630915737307
Linköping University,SE,304,268,35.8,18.5,26.6,37.9,45.4,81.9,32.6,84.6,42.4,41.0,1.756810344769953,0.8083972374448728
Universidade Federal do Rio de Janeiro,BR,304,371,35.8,61.9,23.3,13.7,7.8,7.6,1.5,79.7,81.4,59.6,1.642605314363033,-2.0230633511928513
Aalborg University,DK,306,336,35.7,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6,1.779197915647039,0.9039420676915011
"University of California, Irvine",US,307,268,35.5,37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2,36.0,1.3146118166251657,0.9790301429529775
Airlangga University,ID,308,345,35.3,37.1,79.1,57.0,1.5,58.0,6.7,40.3,18.9,16.3,1.0085739928349629,-1.231361830283256
Goethe-University Frankfurt am Main,DE,309,302,35.2,43.2,33.2,24.4,15.9,37.4,24.1,90.4,20.2,75.0,1.6634917309528705,-0.24385276546561682
Universität Innsbruck,AT,309,362,35.2,20.3,7.8,73.1,9.3,100.0,100.0,71.5,55.8,61.6,2.4139330633644778,1.9096321688509899
North Carolina State University,US,311,274,35.1,26.7,25.4,9.8,63.4,55.0,17.0,78.1,21.5,35.7,1.113316180045083,0.5586226298721483
Jagiellonian University,PL,312,304,35,37.8,46.4,65.1,5.5,5.7,15.4,88.6,51.3,35.4,1.4014758194478627,-1.8354025181225333
University of Johannesburg,ZA,312,306,35,17.7,17.9,40.3,24.9,96.5,51.4,98.0,63.1,65.6,2.4335652809949617,1.1595978286861113
Universität Stuttgart,DE,314,312,34.9,23.1,33.0,6.8,55.2,36.0,46.8,70.4,21.7,65.3,1.4626556750488768,0.6809384196591479
Quaid-i-Azam University,PK,315,315,34.8,17.3,42.4,3.2,93.6,7.0,1.9,65.0,21.0,3.4,0.33838037597847626,-0.4562647396866787
RUDN University,RU,316,342,34.7,24.4,48.7,92.0,2.1,8.0,92.2,89.7,10.0,24.0,1.4389676901738413,0.011312458975717175
Shanghai University,CN,489,514,24.5,20.3,13.1,50.8,30.5,40.9,5.3,58.7,8.9,10.5,-0.23212624458991915,0.007204656292883648
University of Notre Dame,US,316,304,34.7,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,68.9,1.5712152889154916,-1.003230805068975
Simon Fraser University,CA,319,318,34.6,24.0,11.4,6.2,36.6,97.0,83.9,76.8,22.8,89.8,2.2437677543854475,2.5692978311060832
University of Colorado Boulder,US,320,264,34.4,36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6,62.8,1.279954687768937,-0.5047103777860994
L.N. Gumilyov Eurasian National University (ENU),KZ,321,355,34.2,34.4,62.0,92.6,1.4,68.7,8.2,22.8,5.5,10.5,0.5847015957257915,-0.8611675261668058
National Technical University of Athens,GR,321,347,34.2,21.3,44.9,4.6,76.0,1.3,4.6,72.7,39.6,5.0,0.5834559971088364,-0.9272012730760093
Universidad Politécnica de Madrid (UPM),ES,321,349,34.2,31.3,56.5,16.7,11.4,3.2,32.1,81.1,60.7,86.3,2.010575393255093,-1.365876111687982
University of Miami,US,324,278,34.1,19.0,29.5,50.0,39.3,66.7,16.9,81.6,43.8,27.9,1.3506626269166464,0.07487506156466776
University of Southern Denmark (SDU),DK,324,326,34.1,20.2,15.9,22.3,49.3,85.5,24.1,81.1,21.3,73.2,1.6258506510831305,1.2764360875418448
